time,vin,vout
5.928000000000000164e-05,7.536391460000000375e-01,4.421592839999999858e-01
6.027999999999999884e-05,7.536975970000000524e-01,4.407849369999999878e-01
6.127999999999999604e-05,7.537559029999999494e-01,4.394260039999999812e-01
6.227999999999999324e-05,7.538140599999999525e-01,4.380824070000000070e-01
6.328000000000000400e-05,7.538720660000000073e-01,4.367540630000000257e-01
6.428000000000000120e-05,7.539299200000000312e-01,4.354408839999999725e-01
6.527999999999999840e-05,7.539876189999999978e-01,4.341427789999999787e-01
6.627999999999999560e-05,7.540451599999999921e-01,4.328596519999999837e-01
6.728000000000000636e-05,7.541025409999999596e-01,4.315914040000000118e-01
6.828000000000000356e-05,7.541597610000000396e-01,4.303379310000000069e-01
6.928000000000000076e-05,7.542168160000000121e-01,4.290991279999999963e-01
7.027999999999999796e-05,7.542737050000000165e-01,4.278748860000000098e-01
7.127999999999999517e-05,7.543304250000000266e-01,4.266650909999999963e-01
7.228000000000000592e-05,7.543869739999999879e-01,4.254696279999999886e-01
7.328000000000000312e-05,7.544433499999999571e-01,4.242883800000000205e-01
7.428000000000000032e-05,7.544995500000000188e-01,4.231212280000000159e-01
7.527999999999999753e-05,7.545555729999999794e-01,4.219680470000000128e-01
7.627999999999999473e-05,7.546114160000000348e-01,4.208287139999999926e-01
7.728000000000000548e-05,7.546670770000000195e-01,4.197031039999999935e-01
7.828000000000000268e-05,7.547225539999999899e-01,4.185910880000000001e-01
7.927999999999999989e-05,7.547778440000000311e-01,4.174925360000000252e-01
8.027999999999999709e-05,7.548329459999999491e-01,4.164073189999999980e-01
8.127999999999999429e-05,7.548878570000000510e-01,4.153353060000000152e-01
8.228000000000000504e-05,7.549425749999999491e-01,4.142763620000000091e-01
8.328000000000000225e-05,7.549970980000000331e-01,4.132303560000000209e-01
8.427999999999999945e-05,7.550514230000000548e-01,4.121971520000000111e-01
8.527999999999999665e-05,7.551055490000000425e-01,4.111766179999999937e-01
8.627999999999999385e-05,7.551594740000000527e-01,4.101686170000000131e-01
8.728000000000000461e-05,7.552131949999999483e-01,4.091730149999999733e-01
8.828000000000000181e-05,7.552667100000000078e-01,4.081896760000000013e-01
8.927999999999999901e-05,7.553200169999999547e-01,4.072184660000000012e-01
9.027999999999999621e-05,7.553731139999999566e-01,4.062592500000000162e-01
9.127999999999999341e-05,7.554259989999999592e-01,4.053118929999999787e-01
9.228000000000000417e-05,7.554786700000000188e-01,4.043762610000000146e-01
9.328000000000000137e-05,7.555311239999999984e-01,4.034522199999999725e-01
9.427999999999999857e-05,7.555833600000000372e-01,4.025396370000000057e-01
9.527999999999999577e-05,7.556353759999999697e-01,4.016383789999999898e-01
9.628000000000000653e-05,7.556871689999999919e-01,4.007483150000000216e-01
9.728000000000000373e-05,7.557387380000000210e-01,3.998693139999999757e-01
9.828000000000000093e-05,7.557900800000000308e-01,3.990012450000000044e-01
9.927999999999999813e-05,7.558411929999999668e-01,3.981439789999999812e-01
1.002799999999999953e-04,7.558920759999999683e-01,3.972973890000000008e-01
1.012800000000000061e-04,7.559427269999999810e-01,3.964613479999999912e-01
1.022800000000000033e-04,7.559931420000000069e-01,3.956357289999999916e-01
1.032800000000000005e-04,7.560433220000000176e-01,3.948204080000000116e-01
1.042799999999999977e-04,7.560932620000000437e-01,3.940152619999999772e-01
1.052799999999999949e-04,7.561429619999999741e-01,3.932201690000000083e-01
1.062800000000000057e-04,7.561924199999999763e-01,3.924350079999999741e-01
1.072800000000000029e-04,7.562416330000000242e-01,3.916596600000000206e-01
1.082800000000000001e-04,7.562905989999999523e-01,3.908940060000000161e-01
1.092799999999999973e-04,7.563393179999999827e-01,3.901379300000000216e-01
1.102799999999999945e-04,7.563877860000000064e-01,3.893913179999999863e-01
1.112800000000000052e-04,7.564360009999999690e-01,3.886540540000000266e-01
1.122800000000000024e-04,7.564839629999999815e-01,3.879260279999999783e-01
1.132799999999999996e-04,7.565316690000000177e-01,3.872071289999999832e-01
1.142799999999999968e-04,7.565791170000000232e-01,3.864972469999999882e-01
1.152799999999999940e-04,7.566263050000000545e-01,3.857962739999999946e-01
1.162800000000000048e-04,7.566732320000000289e-01,3.851041049999999744e-01
1.172800000000000020e-04,7.567198950000000313e-01,3.844206359999999822e-01
1.182799999999999992e-04,7.567662929999999788e-01,3.837457619999999903e-01
1.192799999999999964e-04,7.568124229999999564e-01,3.830793829999999955e-01
1.202799999999999936e-04,7.568582849999999640e-01,3.824213980000000235e-01
1.212800000000000043e-04,7.569038759999999755e-01,3.817717099999999864e-01
1.222800000000000015e-04,7.569491950000000191e-01,3.811302200000000195e-01
1.232799999999999987e-04,7.569942389999999577e-01,3.804968349999999777e-01
1.242799999999999959e-04,7.570390070000000415e-01,3.798714599999999941e-01
1.252799999999999931e-04,7.570834969999999942e-01,3.792540030000000062e-01
1.262799999999999903e-04,7.571277069999999831e-01,3.786443729999999785e-01
1.272799999999999875e-04,7.571716370000000085e-01,3.780424809999999858e-01
1.282800000000000119e-04,7.572152819999999895e-01,3.774482379999999915e-01
1.292800000000000091e-04,7.572586439999999808e-01,3.768615590000000126e-01
1.302800000000000063e-04,7.573017180000000126e-01,3.762823590000000107e-01
1.312800000000000035e-04,7.573445039999999739e-01,3.757105539999999744e-01
1.322800000000000007e-04,7.573870010000000041e-01,3.751460629999999741e-01
1.332799999999999979e-04,7.574292059999999660e-01,3.745888039999999974e-01
1.342799999999999951e-04,7.574711170000000271e-01,3.740386989999999745e-01
1.352799999999999923e-04,7.575127329999999937e-01,3.734956700000000018e-01
1.362799999999999895e-04,7.575540530000000050e-01,3.729596410000000084e-01
1.372799999999999867e-04,7.575950750000000067e-01,3.724305359999999787e-01
1.382800000000000110e-04,7.576357970000000552e-01,3.719082819999999789e-01
1.392800000000000082e-04,7.576762169999999852e-01,3.713928069999999915e-01
1.402800000000000054e-04,7.577163350000000186e-01,3.708840389999999987e-01
1.412800000000000026e-04,7.577561470000000465e-01,3.703819090000000092e-01
1.422799999999999998e-04,7.577956540000000407e-01,3.698863479999999759e-01
1.432799999999999970e-04,7.578348529999999750e-01,3.693972899999999893e-01
1.442799999999999942e-04,7.578737420000000169e-01,3.689146680000000011e-01
1.452799999999999914e-04,7.579123210000000554e-01,3.684384170000000180e-01
1.462799999999999886e-04,7.579505869999999534e-01,3.679684739999999898e-01
1.472800000000000129e-04,7.579885389999999612e-01,3.675047770000000047e-01
1.482800000000000101e-04,7.580261759999999960e-01,3.670472650000000114e-01
1.492800000000000073e-04,7.580634960000000033e-01,3.665958770000000144e-01
1.502800000000000045e-04,7.581004980000000115e-01,3.661505549999999887e-01
1.512800000000000017e-04,7.581371799999999661e-01,3.657112399999999930e-01
1.522799999999999989e-04,7.581735410000000064e-01,3.652778769999999731e-01
1.532799999999999961e-04,7.582095789999999669e-01,3.648504100000000139e-01
1.542799999999999933e-04,7.582452929999999869e-01,3.644287840000000056e-01
1.552799999999999905e-04,7.582806819999999837e-01,3.640129460000000039e-01
1.562799999999999877e-04,7.583157430000000421e-01,3.636028430000000089e-01
1.572800000000000120e-04,7.583504760000000511e-01,3.631984249999999914e-01
1.582800000000000092e-04,7.583848800000000390e-01,3.627996399999999788e-01
1.592800000000000064e-04,7.584189529999999513e-01,3.624064390000000246e-01
1.602800000000000036e-04,7.584526929999999556e-01,3.620187739999999876e-01
1.612800000000000008e-04,7.584860989999999692e-01,3.616365979999999758e-01
1.622799999999999980e-04,7.585191709999999921e-01,3.612598630000000144e-01
1.632799999999999952e-04,7.585519059999999980e-01,3.608885239999999883e-01
1.642799999999999924e-04,7.585843039999999871e-01,3.605225369999999763e-01
1.652799999999999896e-04,7.586163620000000440e-01,3.601618580000000014e-01
1.662799999999999868e-04,7.586480810000000297e-01,3.598064429999999758e-01
1.672800000000000111e-04,7.586794580000000288e-01,3.594562510000000044e-01
1.682800000000000084e-04,7.587104930000000413e-01,3.591112410000000255e-01
1.692800000000000056e-04,7.587411830000000412e-01,3.587713710000000056e-01
1.702800000000000028e-04,7.587715290000000001e-01,3.584366030000000203e-01
1.712800000000000000e-04,7.588015280000000029e-01,3.581068980000000068e-01
1.722799999999999972e-04,7.588311800000000495e-01,3.577822170000000135e-01
1.732799999999999944e-04,7.588604829999999746e-01,3.574625229999999765e-01
1.742799999999999916e-04,7.588894360000000283e-01,3.571477809999999975e-01
1.752799999999999888e-04,7.589180380000000170e-01,3.568379540000000127e-01
1.762800000000000131e-04,7.589462890000000517e-01,3.565330079999999846e-01
1.772800000000000103e-04,7.589741859999999951e-01,3.562329080000000148e-01
1.782800000000000075e-04,7.590017289999999583e-01,3.559376200000000101e-01
1.792800000000000047e-04,7.590289159999999979e-01,3.556471130000000147e-01
1.802800000000000019e-04,7.590557470000000029e-01,3.553613529999999909e-01
1.812799999999999991e-04,7.590822210000000014e-01,3.550803100000000101e-01
1.822799999999999963e-04,7.591083360000000502e-01,3.548039519999999780e-01
1.832799999999999935e-04,7.591340909999999553e-01,3.545322499999999932e-01
1.842799999999999907e-04,7.591594860000000500e-01,3.542651740000000160e-01
1.852799999999999879e-04,7.591845189999999466e-01,3.540026960000000056e-01
1.862800000000000122e-04,7.592091899999999782e-01,3.537447870000000050e-01
1.872800000000000094e-04,7.592334969999999794e-01,3.534914200000000006e-01
1.882800000000000066e-04,7.592574389999999784e-01,3.532425679999999790e-01
1.892800000000000038e-04,7.592810159999999753e-01,3.529982039999999821e-01
1.902800000000000010e-04,7.593042269999999982e-01,3.527583029999999953e-01
1.912799999999999982e-04,7.593270699999999929e-01,3.525228389999999767e-01
1.922799999999999954e-04,7.593495449999999591e-01,3.522917890000000218e-01
1.932799999999999926e-04,7.593716510000000364e-01,3.520651280000000050e-01
1.942799999999999898e-04,7.593933870000000308e-01,3.518428319999999943e-01
1.952799999999999870e-04,7.594147530000000534e-01,3.516248790000000013e-01
1.962800000000000113e-04,7.594357459999999671e-01,3.514112469999999822e-01
1.972800000000000085e-04,7.594563669999999656e-01,3.512019129999999767e-01
1.982800000000000057e-04,7.594766149999999660e-01,3.509968560000000237e-01
1.992800000000000029e-04,7.594964880000000251e-01,3.507960560000000227e-01
2.002800000000000001e-04,7.595159870000000035e-01,3.505994920000000126e-01
