vin,vout,dvout_dvin
2.290000000000000091e-01,1.497496390000000011e+00,-1.893000000018218998e-02
2.300000000000000100e-01,1.497477259999999921e+00,-1.932499999998071871e-02
2.310000000000000109e-01,1.497457739999999982e+00,-1.972499999988031050e-02
2.320000000000000118e-01,1.497437810000000091e+00,-2.013499999998202838e-02
2.330000000000000127e-01,1.497417470000000028e+00,-2.054999999995743565e-02
2.340000000000000135e-01,1.497396710000000075e+00,-2.096500000004652975e-02
2.349999999999999867e-01,1.497375539999999949e+00,-2.138499999989562639e-02
2.359999999999999876e-01,1.497353939999999994e+00,-2.180999999995947292e-02
2.369999999999999885e-01,1.497331919999999927e+00,-2.223999999989700882e-02
2.379999999999999893e-01,1.497309460000000092e+00,-2.267500000004929461e-02
2.389999999999999902e-01,1.497286569999999983e+00,-2.311500000007526978e-02
2.399999999999999911e-01,1.497263229999999945e+00,-2.355999999997493433e-02
2.409999999999999920e-01,1.497239449999999916e+00,-2.400499999998828571e-02
2.419999999999999929e-01,1.497215219999999958e+00,-2.445999999997638952e-02
2.429999999999999938e-01,1.497190529999999908e+00,-2.491500000007818016e-02
2.439999999999999947e-01,1.497165389999999929e+00,-2.537500000005366019e-02
2.449999999999999956e-01,1.497139779999999920e+00,-2.584499999989020580e-02
2.459999999999999964e-01,1.497113700000000103e+00,-2.631499999995412509e-02
2.469999999999999973e-01,1.497087150000000033e+00,-2.678500000001804437e-02
2.479999999999999982e-01,1.497060129999999933e+00,-2.726500000005671609e-02
2.489999999999999991e-01,1.497032619999999925e+00,-2.775000000008276402e-02
2.500000000000000000e-01,1.497004629999999947e+00,-2.822999999989406206e-02
2.510000000000000009e-01,1.496976160000000000e+00,-2.871999999990748620e-02
2.520000000000000018e-01,1.496947189999999983e+00,-2.922000000012303644e-02
2.530000000000000027e-01,1.496917719999999896e+00,-2.971999999999752617e-02
2.540000000000000036e-01,1.496887749999999961e+00,-3.021999999998570274e-02
2.550000000000000044e-01,1.496857279999999957e+00,-3.072500000007494236e-02
2.560000000000000053e-01,1.496826299999999943e+00,-3.123999999991156074e-02
2.570000000000000062e-01,1.496794799999999981e+00,-3.175499999997555278e-02
2.580000000000000071e-01,1.496762790000000010e+00,-3.227000000003954483e-02
2.590000000000000080e-01,1.496730260000000090e+00,-3.279499999996460247e-02
2.600000000000000089e-01,1.496697200000000061e+00,-3.332000000000334694e-02
2.610000000000000098e-01,1.496663620000000083e+00,-3.385000000002946763e-02
2.620000000000000107e-01,1.496629500000000057e+00,-3.438500000004296453e-02
2.630000000000000115e-01,1.496594849999999921e+00,-3.491999999994277459e-02
