 time            v(vin)          v(vout)        
 1.66280000e-04  7.58648081e-01  3.59806443e-01 
 1.67280000e-04  7.58679458e-01  3.59456251e-01 
 1.68280000e-04  7.58710493e-01  3.59111241e-01 
 1.69280000e-04  7.58741183e-01  3.58771371e-01 
 1.70280000e-04  7.58771529e-01  3.58436603e-01 
 1.71280000e-04  7.58801528e-01  3.58106898e-01 
 1.72280000e-04  7.58831180e-01  3.57782217e-01 
 1.73280000e-04  7.58860483e-01  3.57462523e-01 
 1.74280000e-04  7.58889436e-01  3.57147781e-01 
 1.75280000e-04  7.58918038e-01  3.56837954e-01 
 1.76280000e-04  7.58946289e-01  3.56533008e-01 
 1.77280000e-04  7.58974186e-01  3.56232908e-01 
 1.78280000e-04  7.59001729e-01  3.55937620e-01 
 1.79280000e-04  7.59028916e-01  3.55647113e-01 
 1.80280000e-04  7.59055747e-01  3.55361353e-01 
 1.81280000e-04  7.59082221e-01  3.55080310e-01 
 1.82280000e-04  7.59108336e-01  3.54803952e-01 
 1.83280000e-04  7.59134091e-01  3.54532250e-01 
 1.84280000e-04  7.59159486e-01  3.54265174e-01 
 1.85280000e-04  7.59184519e-01  3.54002696e-01 
 1.86280000e-04  7.59209190e-01  3.53744787e-01 
 1.87280000e-04  7.59233497e-01  3.53491420e-01 
 1.88280000e-04  7.59257439e-01  3.53242568e-01 
 1.89280000e-04  7.59281016e-01  3.52998204e-01 
 1.90280000e-04  7.59304227e-01  3.52758303e-01 
 1.91280000e-04  7.59327070e-01  3.52522839e-01 
 1.92280000e-04  7.59349545e-01  3.52291789e-01 
 1.93280000e-04  7.59371651e-01  3.52065128e-01 
 1.94280000e-04  7.59393387e-01  3.51842832e-01 
 1.95280000e-04  7.59414753e-01  3.51624879e-01 
 1.96280000e-04  7.59435746e-01  3.51411247e-01 
 1.97280000e-04  7.59456367e-01  3.51201913e-01 
 1.98280000e-04  7.59476615e-01  3.50996856e-01 
 1.99280000e-04  7.59496488e-01  3.50796056e-01 
 2.00280000e-04  7.59515987e-01  3.50599492e-01 
 2.01280000e-04  7.59535110e-01  3.50407145e-01 
 2.02280000e-04  7.59553856e-01  3.50218995e-01 
 2.03280000e-04  7.59572226e-01  3.50035023e-01 
 2.04280000e-04  7.59590217e-01  3.49855211e-01 
 2.05280000e-04  7.59607830e-01  3.49679542e-01 
 2.06280000e-04  7.59625064e-01  3.49507998e-01 
 2.07280000e-04  7.59641917e-01  3.49340561e-01 
 2.08280000e-04  7.59658390e-01  3.49177217e-01 
 2.09280000e-04  7.59674482e-01  3.49017948e-01 
 2.10280000e-04  7.59690192e-01  3.48862740e-01 
 2.11280000e-04  7.59705519e-01  3.48711577e-01 
 2.12280000e-04  7.59720463e-01  3.48564444e-01 
 2.13280000e-04  7.59735023e-01  3.48421327e-01 
 2.14280000e-04  7.59749199e-01  3.48282214e-01 
 2.15280000e-04  7.59762990e-01  3.48147089e-01 
 2.16280000e-04  7.59776396e-01  3.48015941e-01 
 2.17280000e-04  7.59789416e-01  3.47888756e-01 
 2.18280000e-04  7.59802049e-01  3.47765523e-01 
 2.19280000e-04  7.59814295e-01  3.47646230e-01 
 2.20280000e-04  7.59826154e-01  3.47530866e-01 
 2.21280000e-04  7.59837625e-01  3.47419420e-01 
 2.22280000e-04  7.59848707e-01  3.47311881e-01 
 2.23280000e-04  7.59859401e-01  3.47208239e-01 
 2.24280000e-04  7.59869705e-01  3.47108485e-01 
 2.25280000e-04  7.59879620e-01  3.47012608e-01 
 2.26280000e-04  7.59889145e-01  3.46920601e-01 
 2.27280000e-04  7.59898279e-01  3.46832455e-01 
 2.28280000e-04  7.59907023e-01  3.46748161e-01 
 2.29280000e-04  7.59915376e-01  3.46667711e-01 
 2.30280000e-04  7.59923337e-01  3.46591099e-01 
 2.31280000e-04  7.59930906e-01  3.46518316e-01 
 2.32280000e-04  7.59938083e-01  3.46449357e-01 
 2.33280000e-04  7.59944868e-01  3.46384215e-01 
 2.34280000e-04  7.59951260e-01  3.46322884e-01 
 2.35280000e-04  7.59957260e-01  3.46265358e-01 
 2.36280000e-04  7.59962866e-01  3.46211632e-01 
 2.37280000e-04  7.59968079e-01  3.46161701e-01 
 2.38280000e-04  7.59972899e-01  3.46115560e-01 
 2.39280000e-04  7.59977325e-01  3.46073206e-01 
 2.40280000e-04  7.59981357e-01  3.46034634e-01 
 2.41280000e-04  7.59984994e-01  3.45999841e-01 
 2.42280000e-04  7.59988238e-01  3.45968823e-01 
 2.43280000e-04  7.59991087e-01  3.45941578e-01 
 2.44280000e-04  7.59993542e-01  3.45918104e-01 
 2.45280000e-04  7.59995603e-01  3.45898397e-01 
 2.46280000e-04  7.59997269e-01  3.45882457e-01 
 2.47280000e-04  7.59998540e-01  3.45870282e-01 
 2.48280000e-04  7.59999416e-01  3.45861871e-01 
 2.49280000e-04  7.59999898e-01  3.45857223e-01 
 2.50280000e-04  7.59999985e-01  3.45856337e-01 
 2.51280000e-04  7.59999677e-01  3.45859214e-01 
 2.52280000e-04  7.59998974e-01  3.45865853e-01 
 2.53280000e-04  7.59997876e-01  3.45876256e-01 
 2.54280000e-04  7.59996384e-01  3.45890423e-01 
 2.55280000e-04  7.59994498e-01  3.45908356e-01 
 2.56280000e-04  7.59992216e-01  3.45930056e-01 
 2.57280000e-04  7.59989540e-01  3.45955525e-01 
 2.58280000e-04  7.59986470e-01  3.45984766e-01 
 2.59280000e-04  7.59983006e-01  3.46017780e-01 
 2.60280000e-04  7.59979147e-01  3.46054572e-01 
 2.61280000e-04  7.59974895e-01  3.46095144e-01 
 2.62280000e-04  7.59970248e-01  3.46139501e-01 
 2.63280000e-04  7.59965208e-01  3.46187646e-01 
 2.64280000e-04  7.59959775e-01  3.46239583e-01 
 2.65280000e-04  7.59953949e-01  3.46295318e-01 
 2.66280000e-04  7.59947729e-01  3.46354855e-01 
 2.67280000e-04  7.59941117e-01  3.46418200e-01 
 2.68280000e-04  7.59934112e-01  3.46485359e-01 
 2.69280000e-04  7.59926715e-01  3.46556338e-01 
 2.70280000e-04  7.59918927e-01  3.46631144e-01 
 2.71280000e-04  7.59910746e-01  3.46709783e-01 
 2.72280000e-04  7.59902175e-01  3.46792263e-01 
 2.73280000e-04  7.59893212e-01  3.46878591e-01 
 2.74280000e-04  7.59883859e-01  3.46968775e-01 
 2.75280000e-04  7.59874116e-01  3.47062824e-01 
 2.76280000e-04  7.59863983e-01  3.47160747e-01 
 2.77280000e-04  7.59853460e-01  3.47262552e-01 
 2.78280000e-04  7.59842549e-01  3.47368250e-01 
 2.79280000e-04  7.59831249e-01  3.47477849e-01 
 2.80280000e-04  7.59819561e-01  3.47591361e-01 
 2.81280000e-04  7.59807485e-01  3.47708796e-01 
 2.82280000e-04  7.59795022e-01  3.47830165e-01 
 2.83280000e-04  7.59782172e-01  3.47955480e-01 
 2.84280000e-04  7.59768936e-01  3.48084752e-01 
 2.85280000e-04  7.59755315e-01  3.48217994e-01 
 2.86280000e-04  7.59741308e-01  3.48355219e-01 
 2.87280000e-04  7.59726917e-01  3.48496439e-01 
 2.88280000e-04  7.59712142e-01  3.48641668e-01 
 2.89280000e-04  7.59696983e-01  3.48790921e-01 
 2.90280000e-04  7.59681441e-01  3.48944211e-01 
 2.91280000e-04  7.59665518e-01  3.49101554e-01 
 2.92280000e-04  7.59649212e-01  3.49262964e-01 
 2.93280000e-04  7.59632526e-01  3.49428458e-01 
 2.94280000e-04  7.59615460e-01  3.49598052e-01 
 2.95280000e-04  7.59598014e-01  3.49771761e-01 
 2.96280000e-04  7.59580189e-01  3.49949605e-01 
 2.97280000e-04  7.59561986e-01  3.50131598e-01 
 2.98280000e-04  7.59543405e-01  3.50317761e-01 
 2.99280000e-04  7.59524447e-01  3.50508112e-01 
 3.00280000e-04  7.59505114e-01  3.50702669e-01 
 3.01280000e-04  7.59485405e-01  3.50901451e-01 
 3.02280000e-04  7.59465322e-01  3.51104480e-01 
 3.03280000e-04  7.59444865e-01  3.51311775e-01 
 3.04280000e-04  7.59424036e-01  3.51523358e-01 
 3.05280000e-04  7.59402834e-01  3.51739250e-01 
 3.06280000e-04  7.59381261e-01  3.51959473e-01 
 3.07280000e-04  7.59359317e-01  3.52184049e-01 
 3.08280000e-04  7.59337005e-01  3.52413002e-01 
 3.09280000e-04  7.59314323e-01  3.52646356e-01 
 3.10280000e-04  7.59291274e-01  3.52884135e-01 
 3.11280000e-04  7.59267858e-01  3.53126364e-01 
 3.12280000e-04  7.59244076e-01  3.53373067e-01 
 3.13280000e-04  7.59219930e-01  3.53624272e-01 
 3.14280000e-04  7.59195419e-01  3.53880004e-01 
 3.15280000e-04  7.59170545e-01  3.54140291e-01 
 3.16280000e-04  7.59145309e-01  3.54405161e-01 
 3.17280000e-04  7.59119712e-01  3.54674642e-01 
 3.18280000e-04  7.59093756e-01  3.54948764e-01 
 3.19280000e-04  7.59067440e-01  3.55227555e-01 
 3.20280000e-04  7.59040766e-01  3.55511046e-01 
 3.21280000e-04  7.59013735e-01  3.55799269e-01 
 3.22280000e-04  7.58986348e-01  3.56092255e-01 
 3.23280000e-04  7.58958607e-01  3.56390037e-01 
 3.24280000e-04  7.58930512e-01  3.56692647e-01 
 3.25280000e-04  7.58902064e-01  3.57000119e-01 
 3.26280000e-04  7.58873265e-01  3.57312489e-01 
 3.27280000e-04  7.58844116e-01  3.57629790e-01 
 3.28280000e-04  7.58814618e-01  3.57952060e-01 
 3.29280000e-04  7.58784771e-01  3.58279335e-01 
 3.30280000e-04  7.58754578e-01  3.58611652e-01 
 3.31280000e-04  7.58724039e-01  3.58949051e-01 
 3.32280000e-04  7.58693156e-01  3.59291569e-01 
 3.33280000e-04  7.58661929e-01  3.59639248e-01 
 3.34280000e-04  7.58630361e-01  3.59992127e-01 
 3.35280000e-04  7.58598451e-01  3.60350249e-01 
 3.36280000e-04  7.58566203e-01  3.60713655e-01 
 3.37280000e-04  7.58533616e-01  3.61082390e-01 
 3.38280000e-04  7.58500692e-01  3.61456497e-01 
 3.39280000e-04  7.58467433e-01  3.61836022e-01 
 3.40280000e-04  7.58433839e-01  3.62221010e-01 
 3.41280000e-04  7.58399913e-01  3.62611508e-01 
 3.42280000e-04  7.58365655e-01  3.63007566e-01 
 3.43280000e-04  7.58331066e-01  3.63409230e-01 
 3.44280000e-04  7.58296149e-01  3.63816551e-01 
 3.45280000e-04  7.58260904e-01  3.64229580e-01 
 3.46280000e-04  7.58225333e-01  3.64648369e-01 
 3.47280000e-04  7.58189438e-01  3.65072971e-01 
 3.48280000e-04  7.58153219e-01  3.65503439e-01 
 3.49280000e-04  7.58116678e-01  3.65939828e-01 
 3.50280000e-04  7.58079817e-01  3.66382195e-01 
 3.51280000e-04  7.58042636e-01  3.66830596e-01 
 3.52280000e-04  7.58005139e-01  3.67285090e-01 
 3.53280000e-04  7.57967325e-01  3.67745736e-01 
 3.54280000e-04  7.57929196e-01  3.68212595e-01 
 3.55280000e-04  7.57890755e-01  3.68685728e-01 
 3.56280000e-04  7.57852002e-01  3.69165198e-01 
 3.57280000e-04  7.57812939e-01  3.69651069e-01 
 3.58280000e-04  7.57773568e-01  3.70143406e-01 
 3.59280000e-04  7.57733890e-01  3.70642276e-01 
 3.60280000e-04  7.57693906e-01  3.71147746e-01 
 3.61280000e-04  7.57653619e-01  3.71659886e-01 
 3.62280000e-04  7.57613030e-01  3.72178766e-01 
 3.63280000e-04  7.57572140e-01  3.72704457e-01 
 3.64280000e-04  7.57530951e-01  3.73237032e-01 
 3.65280000e-04  7.57489465e-01  3.73776565e-01 
 3.66280000e-04  7.57447683e-01  3.74323132e-01 
